Departamento,Distrito,SINDROME Y/O TRASTORNO PSICOTICO,TRASTORNO DE CONSUMO DE ALCOHOL,TRASTORNO DE CONSUMO DE DROGAS,TRASTORNO DE CONSUMO DE TABACO,TRASTORNO DEPRESIVO,VIOLENCIA FAMILIAR/MALTRATO INFANTIL,SOLO TAMIZAJES POSITIVOS,TAMIZAJES C/CONDICION ADICIONAL VIOLENCIA POLITICA,TOTAL DE TAMIZAJES
MOQUEGUA,PACOCHA,0.0,2.0,1.0,0.0,0.0,2.0,5.0,0.0,423.0
MOQUEGUA,PUQUINA,0.0,2.0,0.0,0.0,3.0,5.0,10.0,0.0,204.0
MOQUEGUA,QUINISTAQUILLAS,0.0,0.0,0.0,0.0,3.0,10.0,13.0,0.0,140.0
MOQUEGUA,SAMEGUA,0.0,1.0,2.0,0.0,47.0,44.0,94.0,0.0,2128.0
MOQUEGUA,TORATA,0.0,3.0,0.0,0.0,38.0,69.0,110.0,0.0,779.0
MOQUEGUA,UBINAS,0.0,10.0,0.0,0.0,42.0,39.0,91.0,0.0,714.0
PASCO,PAUCAR,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,41.0
PASCO,SIMON BOLIVAR,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,324.0
PASCO,TAPUC,0.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,16.0
PIURA,AYABACA,0.0,54.0,0.0,1.0,10.0,28.0,93.0,0.0,3535.0
PIURA,BELLAVISTA,12.0,55.0,28.0,1.0,22.0,653.0,771.0,0.0,6249.0
PIURA,BERNAL,0.0,0.0,0.0,0.0,176.0,43.0,219.0,0.0,1013.0
PIURA,CANCHAQUE,0.0,10.0,0.0,2.0,13.0,47.0,72.0,0.0,1125.0
PIURA,CATACAOS,2.0,48.0,6.0,4.0,149.0,462.0,671.0,2.0,3875.0
PIURA,CURA MORI,8.0,4.0,0.0,0.0,98.0,103.0,213.0,0.0,477.0
PIURA,EL TALLAN,0.0,0.0,0.0,0.0,0.0,29.0,29.0,0.0,70.0
PIURA,HUANCABAMBA,0.0,0.0,0.0,0.0,3.0,5.0,8.0,0.0,976.0
PIURA,HUARMACA,0.0,4.0,0.0,0.0,42.0,172.0,218.0,0.0,2578.0
PIURA,LA ARENA,2.0,49.0,0.0,0.0,75.0,363.0,489.0,0.0,3698.0
PIURA,LA MATANZA,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,3059.0
PIURA,LA UNION,0.0,29.0,1.0,1.0,22.0,136.0,189.0,0.0,6136.0
PIURA,MARCAVELICA,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,182.0
PIURA,MONTERO,0.0,7.0,0.0,5.0,0.0,0.0,12.0,0.0,1036.0
PIURA,MORROPON,0.0,32.0,6.0,2.0,7.0,19.0,66.0,0.0,439.0
PIURA,PAIMAS,1.0,4.0,0.0,1.0,12.0,14.0,32.0,0.0,2963.0
PIURA,PAITA,2.0,13.0,6.0,0.0,50.0,153.0,224.0,0.0,9901.0
PIURA,PIURA,0.0,2.0,0.0,0.0,0.0,1.0,3.0,0.0,2.0
PIURA,SAN JUAN DE BIGOTE,0.0,5.0,0.0,2.0,18.0,18.0,43.0,0.0,1350.0
PIURA,SECHURA,0.0,42.0,6.0,1.0,100.0,52.0,201.0,0.0,2700.0
PIURA,SULLANA,5.0,9.0,7.0,0.0,79.0,686.0,786.0,0.0,4265.0
PIURA,SUYO,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1430.0
PIURA,VEINTISEIS DE OCTUB,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,8.0
PUNO,ACORA,0.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,10.0
PUNO,AJOYANI,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,367.0
PUNO,ALTO INAMBARI,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,70.0
PUNO,ANANEA,0.0,0.0,0.0,0.0,14.0,8.0,22.0,0.0,628.0
PUNO,ANAPIA,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,72.0
PUNO,ARAPA,0.0,0.0,0.0,0.0,33.0,21.0,54.0,0.0,678.0
PUNO,ASILLO,0.0,0.0,0.0,0.0,26.0,4.0,30.0,0.0,1459.0
PUNO,AYAVIRI,0.0,5.0,0.0,0.0,23.0,24.0,52.0,0.0,657.0
PUNO,AZANGARO,0.0,10.0,0.0,0.0,82.0,19.0,111.0,0.0,1486.0
PUNO,CABANA,0.0,0.0,0.0,1.0,1.0,3.0,5.0,0.0,84.0
PUNO,CABANILLA,0.0,0.0,0.0,0.0,5.0,6.0,11.0,0.0,105.0
PUNO,CABANILLAS,0.0,0.0,0.0,0.0,2.0,4.0,6.0,0.0,96.0
PUNO,CHUPA,0.0,1.0,0.0,1.0,21.0,7.0,30.0,0.0,1614.0
PUNO,CONDURIRI,0.0,1.0,0.0,0.0,1.0,5.0,7.0,0.0,72.0
PUNO,CONIMA,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,156.0
PUNO,COPANI,0.0,0.0,0.0,0.0,7.0,0.0,7.0,0.0,196.0
PUNO,CORANI,0.0,1.0,0.0,0.0,2.0,0.0,3.0,0.0,505.0
