Distrito,Departamento,SINDROME Y/O TRASTORNO PSICOTICO,TRASTORNO DE CONSUMO DE ALCOHOL,TRASTORNO DE CONSUMO DE DROGAS,TRASTORNO DE CONSUMO DE TABACO,TRASTORNO DEPRESIVO,VIOLENCIA FAMILIAR/MALTRATO INFANTIL,SOLO TAMIZAJES POSITIVOS,TAMIZAJES C/CONDICION ADICIONAL VIOLENCIA POLITICA,TOTAL DE TAMIZAJES,TOTAL GENERALIZADO,Ratio T PSICOTICO positivo,Ratio T ALCOHOL positivo,Ratio T DROGAS positivo,Ratio T TABACO positivo,Ratio T DEPRESIVO positivo,Ratio VIOLENCIA positivo,Ratio Tamizaje Nopositivo,Ratio Tamizaje positivo,Ratio Tamizaje positivo condicion,Cluster
GAMARRA,APURIMAC,1.0,9.0,0.0,1.0,30.0,69.0,110.0,4.0,3129.0,3243.0,1.1753505483010308e-05,0.00010578154934709277,0.0,1.1753505483010308e-05,0.00035260516449030926,0.0008109918783277113,0.001475193274363319,5.1860421917534386e-05,1.8858335242739777e-06,0
HAQUIRA,APURIMAC,1.0,0.0,0.0,0.0,20.0,19.0,40.0,1.0,5804.0,5845.0,1.1753505483010308e-05,0.0,0.0,0.0,0.00023507010966020617,0.00022331660417719584,0.0027363444437215416,1.8858335242739776e-05,4.7145838106849444e-07,0
HUACCANA,APURIMAC,1.0,21.0,0.0,0.0,34.0,57.0,113.0,1.0,4462.0,4576.0,1.1753505483010308e-05,0.00024682361514321644,0.0,0.0,0.00039961918642235047,0.0006699498125315876,0.002103647296327622,5.327479706073987e-05,4.7145838106849444e-07,0
HUANCARAMA,APURIMAC,2.0,14.0,5.0,0.0,26.0,57.0,104.0,0.0,4124.0,4228.0,2.3507010966020617e-05,0.0001645490767621443,5.876752741505154e-05,0.0,0.000305591142558268,0.0006699498125315876,0.001944294363526471,4.9031671631123416e-05,0.0,0
HUANCARAY,APURIMAC,0.0,17.0,0.0,0.0,0.0,14.0,31.0,0.0,1897.0,1928.0,0.0,0.00019980959321117523,0.0,0.0,0.0,0.0001645490767621443,0.0008943565488869339,1.4615209813123326e-05,0.0,0
HUANIPACA,APURIMAC,0.0,8.0,0.0,0.0,16.0,27.0,51.0,1.0,2700.0,2752.0,0.0,9.402804386408247e-05,0.0,0.0,0.00018805608772816493,0.0003173446480412783,0.0012729376288849348,2.4044377434493214e-05,4.7145838106849444e-07,0
HUAQUIRCA,APURIMAC,0.0,3.0,1.0,0.0,1.0,9.0,14.0,21.0,3459.0,3494.0,0.0,3.5260516449030925e-05,1.1753505483010308e-05,0.0,1.1753505483010308e-05,0.00010578154934709277,0.0016307745401159222,6.600417334958922e-06,9.900626002438383e-06,0
HUAYANA,APURIMAC,0.0,0.0,0.0,0.0,0.0,1.0,1.0,13.0,286.0,300.0,0.0,0.0,0.0,0.0,0.0,1.1753505483010308e-05,0.0001348370969855894,4.7145838106849444e-07,6.128958953890427e-06,0
HUAYLLATI,APURIMAC,0.0,7.0,0.0,0.0,1.0,5.0,13.0,0.0,1863.0,1876.0,0.0,8.227453838107215e-05,0.0,0.0,1.1753505483010308e-05,5.876752741505154e-05,0.0008783269639306051,6.128958953890427e-06,0.0,0
HUAYLLO,APURIMAC,2.0,6.0,0.0,0.0,4.0,1.0,13.0,14.0,709.0,736.0,2.3507010966020617e-05,7.052103289806185e-05,0.0,0.0,4.701402193204123e-05,1.1753505483010308e-05,0.00033426399217756256,6.128958953890427e-06,6.600417334958922e-06,0
JOS� MAR�A ARGUEDAS,APURIMAC,0.0,1.0,0.0,0.0,0.0,1.0,2.0,3.0,1455.0,1460.0,0.0,1.1753505483010308e-05,0.0,0.0,0.0,1.1753505483010308e-05,0.0006859719444546594,9.429167621369889e-07,1.4143751432054833e-06,0
JUAN ESPINOZA MEDRANO,APURIMAC,0.0,5.0,0.0,0.0,2.0,13.0,20.0,39.0,5667.0,5726.0,0.0,5.876752741505154e-05,0.0,0.0,2.3507010966020617e-05,0.000152795571279134,0.002671754645515158,9.429167621369888e-06,1.8386876861671282e-05,0
JUSTO APU SAHUARAURA,APURIMAC,0.0,1.0,3.0,0.0,10.0,28.0,42.0,16.0,581.0,639.0,0.0,1.1753505483010308e-05,3.5260516449030925e-05,0.0,0.00011753505483010308,0.0003290981535242886,0.00027391731940079524,1.9801252004876767e-05,7.543334097095911e-06,0
KAQUIABAMBA,APURIMAC,0.0,1.0,0.0,0.0,0.0,3.0,4.0,2.0,1025.0,1031.0,0.0,1.1753505483010308e-05,0.0,0.0,0.0,3.5260516449030925e-05,0.0004832448405952068,1.8858335242739777e-06,9.429167621369889e-07,0
KISHUARA,APURIMAC,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,3290.0,3294.0,0.0,0.0,0.0,0.0,0.0,4.701402193204123e-05,0.0015510980737153466,1.8858335242739777e-06,0.0,0
LAMBRAMA,APURIMAC,0.0,27.0,0.0,0.0,25.0,53.0,105.0,9.0,2077.0,2191.0,0.0,0.0003173446480412783,0.0,0.0,0.0002938376370752577,0.0006229357905995464,0.0009792190574792628,4.9503130012191914e-05,4.24312542961645e-06,0
LUCRE,APURIMAC,0.0,1.0,3.0,0.0,7.0,12.0,23.0,4.0,1838.0,1865.0,0.0,1.1753505483010308e-05,3.5260516449030925e-05,0.0,8.227453838107215e-05,0.0001410420657961237,0.0008665405044038927,1.0843542764575371e-05,1.8858335242739777e-06,0
MAMARA,APURIMAC,1.0,1.0,1.0,0.0,17.0,11.0,31.0,0.0,1031.0,1062.0,1.1753505483010308e-05,1.1753505483010308e-05,1.1753505483010308e-05,0.0,0.00019980959321117523,0.0001292885603131134,0.00048607359088161773,1.4615209813123326e-05,0.0,0
MARA,APURIMAC,0.0,9.0,0.0,0.0,6.0,29.0,44.0,0.0,2645.0,2689.0,0.0,0.00010578154934709277,0.0,0.0,7.052103289806185e-05,0.0003408516590072989,0.0012470074179261677,2.0744168767013754e-05,0.0,0
MICAELA BASTIDAS,APURIMAC,0.0,0.0,0.0,0.0,0.0,2.0,2.0,5.0,388.0,395.0,0.0,0.0,0.0,0.0,0.0,2.3507010966020617e-05,0.00018292585185457583,9.429167621369889e-07,2.357291905342472e-06,0
OCOBAMBA,APURIMAC,0.0,8.0,1.0,0.0,30.0,107.0,146.0,0.0,4281.0,4427.0,0.0,9.402804386408247e-05,1.1753505483010308e-05,0.0,0.00035260516449030926,0.001257625086682103,0.0020183133293542248,6.883292363600018e-05,0.0,0
ONGOY,APURIMAC,2.0,5.0,0.0,0.0,12.0,34.0,53.0,0.0,5809.0,5862.0,2.3507010966020617e-05,5.876752741505154e-05,0.0,0.0,0.0001410420657961237,0.00039961918642235047,0.002738701735626884,2.4987294196630205e-05,0.0,0
OROPESA,APURIMAC,2.0,1.0,0.0,0.0,5.0,46.0,54.0,1.0,2839.0,2894.0,2.3507010966020617e-05,1.1753505483010308e-05,0.0,0.0,5.876752741505154e-05,0.0005406612522184742,0.0013384703438534557,2.54587525776987e-05,4.7145838106849444e-07,0
PACHACONAS,APURIMAC,0.0,1.0,0.0,0.0,1.0,1.0,3.0,5.0,2503.0,2511.0,0.0,1.1753505483010308e-05,0.0,0.0,1.1753505483010308e-05,1.1753505483010308e-05,0.0011800603278144415,1.4143751432054833e-06,2.357291905342472e-06,0
PACOBAMBA,APURIMAC,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,3467.0,3469.0,0.0,0.0,0.0,0.0,1.1753505483010308e-05,1.1753505483010308e-05,0.0016345462071644702,9.429167621369889e-07,0.0,0
PACUCHA,APURIMAC,0.0,5.0,0.0,0.0,0.0,2.0,7.0,1.0,3724.0,3732.0,0.0,5.876752741505154e-05,0.0,0.0,0.0,2.3507010966020617e-05,0.0017557110110990731,3.300208667479461e-06,4.7145838106849444e-07,0
PAMPACHIRI,APURIMAC,0.0,4.0,1.0,0.0,0.0,1.0,6.0,0.0,879.0,885.0,0.0,4.701402193204123e-05,1.1753505483010308e-05,0.0,0.0,1.1753505483010308e-05,0.0004144119169592066,2.8287502864109666e-06,0.0,0
PATAYPAMPA,APURIMAC,0.0,0.0,0.0,0.0,9.0,11.0,20.0,6.0,710.0,736.0,0.0,0.0,0.0,0.0,0.00010578154934709277,0.0001292885603131134,0.00033473545055863105,9.429167621369888e-06,2.8287502864109666e-06,0
PICHIRHUA,APURIMAC,0.0,0.0,0.0,0.0,11.0,10.0,21.0,0.0,2641.0,2662.0,0.0,0.0,0.0,0.0,0.0001292885603131134,0.00011753505483010308,0.0012451215844018937,9.900626002438383e-06,0.0,0
